,업소명,주소,위도,경도
0,미테리언육식주의자,서울특별시 강남구 강남구 역삼로8길 5,37.4931782,127.0338514
1,만나식당,서울특별시 강남구 강남구 개포로 109길,0.0,0.0
2,돈바치,서울특별시 강남구 강남구 개포로 250,37.4913783,127.0727055
3,대청분식,서울특별시 강남구 강남구 개포로 621,37.4913783,127.0727055
4,다시사랑한다면,서울특별시 강남구 강남구 언주로 407,37.4930304,127.0480834655533
5,고불초삼겹,서울특별시 강남구 강남구 도곡로7길 25,37.491889,127.0344617
6,알리파스타,서울특별시 강남구 논현로 151길 29,0.0,0.0
7,황태사랑,서울특별시 강남구 테헤란로 322 지하2층,0.0,0.0
8,삼탱이시래기밥,서울특별시 강남구 테헤란로 322 지하2층,0.0,0.0
9,대풍참숯갈비,서울특별시 강남구 논현로 76길 8,0.0,0.0
10,시골밥상,서울특별시 강남구 강남구 테헤란로 313,37.4995434,127.0331249
11,행복한잔치국수,서울특별시 강남구 광평로 196 2층,0.0,0.0
12,명동만두,서울특별시 강남구 역삼로 133 지상1층,0.0,0.0
13,고기마을,서울특별시 강남구 남부순환로 2917 청실상가,0.0,0.0
14,J&J 뷰티샵,서울특별시 강남구 역삼로11길 13-8,37.4947103,127.0342817
15,양구식당,서울특별시 강남구 논현로151길 26,37.5197458,127.0255862
16,맛찬,서울특별시 강남구 개포로 615 석탑프라자,0.0,0.0
17,신토불이 정육식당,서울특별시 강남구 남부순환로 2629,37.49348,127.0612738
18,365일 기분좋은날 잔치날,서울특별시 강남구 도곡로4길 19,37.4888358,127.034087
19,팔팔한상,서울특별시 강남구 밤고개로1길 10,37.4880133,127.1018308
20,누렁국수,서울특별시 강남구 개포로 652 빌딩스타3,0.0,0.0
21,이모네손칼국수,서울특별시 강남구 언주로69길 9 1층,0.0,0.0
22,엄마손김밥,서울특별시 강남구 언주로314,0.0,0.0
23,비바비보 앤 호프,서울특별시 강남구 논현로131길 5-3 지상1층,0.0,0.0
24,육천중국요리,서울특별시 강남구 역삼로37길 11,37.4987935,127.0429172
25,임가네민속집,서울특별시 강남구 논현로79길 7,37.4975725,127.0367979
26,순대국밥,서울특별시 강남구 도곡로516 지하1층 3호,0.0,0.0
27,사랑의 도시락,서울특별시 강남구 강남대로94길 55 2층,0.0,0.0
28,월드맛집,서울특별시 강남구 논현로151길 26,37.5197458,127.0255862
29,맛있는돈까스,서울특별시 강남구 개포로 638 지상1층,0.0,0.0
30,한벽루 전주콩나물국밥,서울특별시 강남구 개포로 648 1층,37.4953499,127.0853829
31,만아정육점식당,서울특별시 강남구 광평로56길 11 수서아파트상가,0.0,0.0
32,양평해장국,서울특별시 강남구 논현로12길 19-7 1층,0.0,0.0
33,김밥여행,서울특별시 강남구 논현로4길 47,37.4744964,127.0539633
34,원할매이모네닭한마리,서울특별시 강남구 도곡로4길 9 2층,0.0,0.0
35,서희네,서울특별시 강남구 개포로 22길 41,0.0,0.0
36,하하,서울특별시 강남구 논현로 151길 24,0.0,0.0
37,풍경한식,서울특별시 강남구 광평로 47길 17,0.0,0.0
38,소담,서울특별시 강남구 개포로 615 지하115호,0.0,0.0
39,석화촌,서울특별시 강남구 강남대로 240 지하1층,0.0,0.0
40,강남제비,서울특별시 강남구 테헤란로 25길 20,0.0,0.0
41,역삼정,서울특별시 강남구 역삼로19길 31,37.4962151,127.0371919
42,M&M미용실,서울특별시 강남구 일원로3길 10,37.49241,127.08381
43,황가솥뚜껑삼겹살,서울특별시 강남구 논현로30길 36 지하1층,0.0,0.0
44,고향한식부페,서울특별시 강남구 논현로 72길 20,0.0,0.0
45,대영식당,서울특별시 강남구 강남대로 62길 30,0.0,0.0
46,만두랑,서울특별시 강남구 역삼로 19길 29(역삼동),0.0,0.0
47,나드리식당,서울특별시 강남구 선릉로 6길 19,0.0,0.0
48,강남본돼지갈비,서울특별시 강남구 개포로 22길 27지상,0.0,0.0
49,영동우동,서울특별시 강남구 도곡로 7길 28,0.0,0.0
50,이모네분식,서울특별시 강남구 도곡로 21길 15,0.0,0.0
51,수타손짜장,서울특별시 강남구 개포로 615번지 석탑프라자,0.0,0.0
52,가득드림,서울특별시 강남구 영동대로 513 지하1층,0.0,0.0
53,트윈쿡,서울특별시 강남구 영동대로 513 지하1층,0.0,0.0
54,다복콩비지,서울특별시 강남구 개포로22길 31,37.4760298,127.050135
55,노숙자아구샤브샤브,서울특별시 강남구 개포로22길 13,37.4760298,127.050135
56,누이야식당,서울특별시 강남구 논현로4길 14,37.4744964,127.0539633
57,바지락칼국수,서울특별시 강남구 개포로17길 3-10 지상1층,0.0,0.0
58,숙아채 콩나물국밥(개포),서울특별시 강남구 개포로20길 17,37.4769812,127.0475224
59,장독묵은지,서울특별시 강남구 삼성로 38,37.5067233,127.0566608
60,우리생고기,서울특별시 강남구 개포로82길 13-17 2층,0.0,0.0
61,돈까스리,서울특별시 강남구 테헤란로 322 지하층,0.0,0.0
62,중화요리일품,서울특별시 강남구 테헤란로 322,37.5032316,127.0465683
63,바우골화로구이,서울특별시 강남구 강남대로92길 29,37.4992069,127.0295841
64,고등어식당,서울특별시 강남구 강남대로84길 33,37.4975821,127.0310786
65,수미정,서울특별시 강남구 강남대로84길 33 대우디오빌플러스,0.0,0.0
66,육판장,서울특별시 강남구 삼성로 155 지상1층,0.0,0.0
67,사천옥,서울특별시 강남구 선릉로86길 16 지상1층,0.0,0.0
68,미러칼국수,서울특별시 강남구 삼성로 212 지하층32호,0.0,0.0
69,대치동영지,서울특별시 강남구 삼성로 212 지상1층,0.0,0.0
70,해피타임,서울특별시 강남구 삼성로 71길 34,0.0,0.0
71,왕가네왕만두,서울특별시 강남구 역삼로 420 지상1층,0.0,0.0
72,오복냉면,서울특별시 강남구 선릉로76길 21,37.5022469,127.0511782
73,여신김밥,서울특별시 강남구 선릉로90길 70 인텔빌딩,0.0,0.0
74,제일식당,서울특별시 강남구 남부순환로 2921,37.4934887,127.0597536
75,한보식당,서울특별시 강남구 남부순환로 2921 남서울지하상가,0.0,0.0
76,시골청국장,서울특별시 강남구 학동로 504 서울빌딩,0.0,0.0
77,해남식당,서울특별시 강남구 학동로101길 26 청담삼익상가,0.0,0.0
78,청계산갈비살,서울특별시 강남구 학동로45길 7 지하1층,0.0,0.0
79,지리산,서울특별시 강남구 학동로43길 7 지상1층,0.0,0.0
80,영동원삼겹살,서울특별시 강남구 강남대로 520,37.4845641,127.0341866
81,청송숯불화로구이,서울특별시 강남구 언주로 114길 17,0.0,0.0
82,선경헤어샵,서울특별시 강남구 삼성로 151 선경상가,0.0,0.0
83,하나야 플라워앤공방,서울특별시 강동구 서울특별시 강동구 상암로41길,37.5496158,127.1404872
84,미소분식,서울특별시 강동구 성내로3가길 7(성내동),0.0,0.0
85,다인,서울특별시 강동구 양재대로147길 7 (명일동),0.0,0.0
86,서울진국수,서울특별시 강동구 성내로 11,37.52893,127.12503
87,명동찌개마을,"서울특별시 강동구 성안로3길 91, 1층(성내동)",0.0,0.0
88,쉼터기원,"서울특별시 강동구 양재대로 1389,3층",0.0,0.0
89,세아이용원,"서울특별시 강동구 올림픽로 80길 44,1층",0.0,0.0
90,둔촌시장모범이발관,서울특별시 강동구 풍성로58길 20,37.5284302,127.1356535
91,토속칼국수,서울특별시 강동구 양재대로113길 8,37.5383846,127.1379469
92,명가손칼국수,서울특별시 강동구 풍성로54길 44,37.5278641,127.1327792
93,학생회관분식,"서울특별시 강동구 구천면로 404, 11호",0.0,0.0
94,미스터미용실,서울특별시 강동구 천호대로 162길 53,0.0,0.0
95,모아분식,서울특별시 강동구 천호대로191길 6,37.5358736,127.1442864
96,별미바지락칼국수,서울특별시 강동구 풍성로 160,37.527279,127.1419546
97,토속뚝배기,서울특별시 강동구 양재대로 1389,37.5619305,127.1390672
98,한마음미용실,서울특별시 강동구 성안로25길 55,37.5385249,127.1337148
99,가나미용실,서울특별시 강동구 양재대로113길 14,37.5383846,127.1379469
100,황해이발관,서울특별시 강북구 솔매로 35-1,37.6253859,127.0153189
101,카페스타,서울특별시 강북구 삼각산로 71,37.6408474,127.017533
102,착한이발,서울특별시 강북구 도봉로 371,37.6198903,127.0288685
103,아쿠아산소사우나,서울특별시 강북구 한천로 1131(수유동),0.0,0.0
104,두부마을,서울특별시 강북구 오현로31길 109,37.6308507,127.0378567
105,신진미용실,서울특별시 강북구 한천로 1104,37.6340656,127.0374292
106,수유시골집,서울특별시 강북구 도봉로 328 가든타워,0.0,0.0
107,백곰집,"서울특별시 강북구 삼양로 663, 1층(우이동)",0.0,0.0
108,지우정,서울특별시 강북구 삼각산로 130,37.6408474,127.017533
109,토종집,서울특별시 강북구 인수봉로19나길 32,37.6265234,127.0115725
110,하이포크박가네,서울특별시 강북구 덕릉로28길 63,37.6346155,127.0240963
111,콩아리(전주콩나물국밥),서울특별시 강북구 월계로 43-1,37.6232,127.04784
112,만미정 식당,서울특별시 강북구 솔매로43길 96,37.6280605,127.0235144
113,명동세탁소,서울특별시 강북구 인수봉로 79길 57,0.0,0.0
114,백양세탁소,서울특별시 강북구 인수봉로 251-1,37.6388,127.01355
115,제일세탁소,서울특별시 강북구 삼양로 117길 18,0.0,0.0
116,주헤어필,서울특별시 강북구 한천로144길 53,37.6426973,127.0268466
117,선희미용실,서울특별시 강북구 한천로139가길 21,37.6407167,127.0246332
118,원조막국수,서울특별시 강북구 노해로 33길 49,0.0,0.0
119,지영미용실,서울특별시 강북구 도봉로18길 41,37.6203338,127.0308079
120,머리하는집,서울특별시 강북구 오현로9길 132,37.6211993,127.0330017
121,럭키미용실,서울특별시 강북구 오패산로 273,37.61982,127.03271
122,황진우미용실,"서울특별시 강북구 솔샘로 167, 311호(미아동",0.0,0.0
123,별미용실,서울특별시 강북구 삼양로41길 17,37.6215301,127.0199614
124,먹깨비 김밥,서울특별시 강서구 서울 강서로 강서로,37.5587794,126.8383128
125,까꼬뽀꼬,서울특별시 강서구 강서로45라길 35,37.5493248,126.8341003
126,머리못하는 집,"서울특별시 강서구 마곡서1로 115-1, 109호",0.0,0.0
127,판도라,"서울특별시 강서구 마곡중앙로 59-11, 203호",0.0,0.0
128,이안헤어,서울특별시 강서구 남부순환로 11가길 84,0.0,0.0
129,문가네식당,서울특별시 강서구 화곡로 61길 64,0.0,0.0
130,복음미용실,서울특별시 강서구 공항대로65길 51,37.5503618,126.870005
131,그린미용실,서울특별시 강서구 월정로30길 47,37.534873,126.8391703
132,중화요리 명가,서울특별시 강서구 화곡로61길 100,37.5585927,126.8448904
133,송주불냉면,서울특별시 강서구 방화동로 49,37.5615634,126.8080486
134,옛날칼국수,서울특별시 강서구 강서로 18길 8-14,0.0,0.0
135,머리못하는 집,서울특별시 강서구 강서로 45길 174,0.0,0.0
136,메밀이랑 면이랑,서울특별시 강서구 강서로263-17,0.0,0.0
137,새로본미용실,서울특별시 강서구 개화동로27길33,0.0,0.0
138,21C헤어미넷,서울특별시 강서구 곰달래로19길45 1층,0.0,0.0
139,진흥이발,서울특별시 강서구 강서로7길20,0.0,0.0
140,시골칼국수,서울특별시 강서구 방화대로7나길45,0.0,0.0
141,21세기이발,"서울특별시 강서구 강서로17길나길 2, G층",0.0,0.0
142,정수 대중목욕탕,서울특별시 강서구 화곡로 44나길 65,0.0,0.0
143,짱구세탁소,서울특별시 강서구 강서로 45라길 70,0.0,0.0
144,태양이용원,서울특별시 강서구 화곡로 194,37.5496816,126.84779
145,아산남성컷전문,서울특별시 강서구 강서로 207,37.5292654,126.8481558
146,헤어뱅크,서울특별시 강서구 곰달래로 49길 11,0.0,0.0
147,썬스튜디오,서울특별시 강서구 공항대로 36길 129,0.0,0.0
148,부부칼국수,서울특별시 강서구 강서로 56가길 47,0.0,0.0
149,보아스 헤어아트,서울특별시 강서구 등촌로 39길 7,0.0,0.0
150,백미식당,서울특별시 강서구 공항대로 59가길 25,0.0,0.0
151,왕세숫대야냉면(행복을파는집),서울특별시 강서구 공항대로 423,37.5611331,126.8122158
152,차순옥미용실,서울특별시 강서구 허준로 176 8단지상가,0.0,0.0
153,엄마가,"서울특별시 관악구 신림로 280, 1층(신림동)",0.0,0.0
154,바른꽈배기,"서울특별시 관악구 은천로 92, 103호(봉천동)",0.0,0.0
155,마마떼,"서울특별시 관악구 대학6길 36, 1층",0.0,0.0
156,풍년집본가,"서울특별시 관악구 난곡로 232, 1층",0.0,0.0
157,끌레오,서울특별시 관악구 신림로11길 71,37.4646986,126.940454
158,어느멋진날,서울특별시 관악구 신림로11길 67,37.4646986,126.940454
159,네이밍카페커피GO!#1,서울특별시 관악구 난곡로 317,37.4683824,126.9200519
160,맛조탕,서울특별시 관악구 은천로 119,37.4868253,126.9475862
161,하버드미용실,서울특별시 관악구 행운1나길 16,37.4820339,126.9553992
162,추억의 통치킨,서울특별시 관악구 난곡로26길 39,37.4692895,126.9242977
163,서울밥집 봉천점,서울특별시 관악구 장군봉1길 45,37.4817904,126.9414655
164,추억순대국전문점,서울특별시 관악구 신림로26길 11,37.4729513,126.9345254
165,서울밥집,서울특별시 관악구 관천로 36-1,37.482806,126.927891
166,신림국수,서울특별시 관악구 신림동7길 51,37.485668,126.926492
167,이모네식당,서울특별시 관악구 봉천로 575-1,37.47733155,126.96159678170666
168,옥천골,서울특별시 관악구 청룡7길 41,37.4797127,126.9473967
169,시민식당,서울특별시 관악구 남부순환로 1869,37.4819088,126.9456394
170,심영희 헤어,서울특별시 관악구 행운1길 116,37.4814298,126.9566297
171,투가리(서울밥집 낙성대역점),서울특별시 관악구 봉천로 595-1,37.482511,126.9492377
172,노랑머리미용실,서울특별시 관악구 남부순환로145길 11,37.4820782,126.9122062
173,포천이동갈비촌,서울특별시 관악구 신원로 40-12,37.4808827,126.9277775
174,정미용실,서울특별시 관악구 호암로 561-1,37.4646652,126.9315073
175,원조정가네매운갈비찜,서울특별시 관악구 남부순환로216길 8,37.4804795,126.9489521
176,모아그린세탁소,서울특별시 관악구 신림로275-1,0.0,0.0
177,헤어닷컴,서울특별시 관악구 장군봉2길10,0.0,0.0
178,김소선 헤어아트,서울특별시 관악구 행운1길 14,37.4814298,126.9566297
179,고시칼국수,서울특별시 관악구 신림로18가길42,0.0,0.0
180,국수회관,서울특별시 관악구 신림로277,0.0,0.0
181,초밥아저씨,서울특별시 관악구 신원로23(관악종합시장 108호),0.0,0.0
182,빨리셀프크리닝,서울특별시 관악구 신림로224,0.0,0.0
183,다리목,서울특별시 관악구 신림로58가길 7,37.4820368,126.9311688
184,굿띵커피,서울특별시 관악구 조원로4길 37,37.4826766,126.9046993
185,수자타착한식당,서울특별시 관악구 남부순환로143나길 6,37.4830934,126.9120465
186,수제비손칼국수,서울특별시 관악구 인헌4길3,0.0,0.0
187,중앙삼겹시대,서울특별시 관악구 중앙길12,0.0,0.0
188,유창숯불갈비,서울특별시 관악구 은천로23길14,0.0,0.0
189,만리향,서울특별시 관악구 은천로41길20,0.0,0.0
190,송림정,서울특별시 관악구 은천로36,0.0,0.0
191,만나칼국수,서울특별시 관악구 봉천로7길23,0.0,0.0
192,열린미용실,서울특별시 관악구 난곡로40길16,0.0,0.0
193,미림17분칼라,서울특별시 관악구 호암로26길1,0.0,0.0
194,행복한미용실,서울특별시 관악구 양지2길 24,37.4707707,126.9318934
195,토방닭한마리,서울특별시 관악구 신림로22길5,0.0,0.0
196,목우촌부추삼겹살,서울특별시 관악구 남현1길68-10,0.0,0.0
197,원이발소,서울특별시 관악구 청룡8길77,0.0,0.0
198,덕성이발관,서울특별시 관악구 장군봉2길 11,37.4825769,126.9394091
199,청진동해장국,서울특별시 관악구 관악로105동산빌딩1층,0.0,0.0
200,재경헤어라인,서울특별시 관악구 봉천로13길 7,37.4899954,126.9308852
201,헤어디자인하우스,"서울특별시 관악구 은천로 95, 벽산블루밍상가",0.0,0.0
202,자양다방,서울특별시 광진구 자양로15길 100,37.5352279,127.0813115
203,채움,서울특별시 광진구 군자로104-1,0.0,0.0
204,돈필,서울특별시 광진구 동일로72길 38,37.5655463,127.0795285
205,엄마손집밥,서울특별시 광진구 자양번영로 13,37.5316065,127.0752045
206,면곡당,서울특별시 광진구 면목로17길 24,37.5705455,127.0819938
207,능라도분식,서울특별시 광진구 천호대로110길 50,37.5540483,127.0785896
208,마니아우동,서울특별시 광진구 긴고랑로 25,37.56369,127.0782554
209,중국관,서울특별시 광진구 긴고랑로 39,37.56369,127.0782554
210,세종원,"서울특별시 광진구 광나루로 373, 1층(군자동)",0.0,0.0
211,보현식당,서울특별시 광진구 아차산로40길 8,37.5346086,127.0775237
212,종로한정식,서울특별시 광진구 아차산로40길 8(자양동),0.0,0.0
213,보광식당,서울특별시 광진구 아차산로 341(자양동),0.0,0.0
214,세종하늘마루,서울특별시 광진구 군자로 153(군자동),0.0,0.0
215,방미헤어컬쳐,서울특별시 광진구 군자로 138(군자동),0.0,0.0
216,이삭홍두깨칼국수,서울특별시 광진구 동일로72길 51(중곡동),0.0,0.0
217,진아보석사우나,서울특별시 광진구 자양로15길 109,37.5338807,127.0784201
218,북경,서울특별시 광진구 능동로 135,37.5430604,127.0717952
219,성원식당,서울특별시 광진구 자양로 261,37.5283275,127.0884549
220,옥문,서울특별시 광진구 광나루로56길 63,37.53781,127.09669
221,홍천화로숯불갈비,서울특별시 광진구 천호대로110길 27,37.5559236,127.0797402
222,기덕이네생고기집,서울특별시 광진구 뚝섬로58길 26,37.5293201,127.0844977
223,한아름분식,서울특별시 광진구 군자로 159,37.5519973,127.0713059
224,겨울나그네,서울특별시 광진구 능동로 147-1,37.5529046,127.0772581
225,이도희머리방,서울특별시 광진구 아차산로36길 39,37.5378234,127.0741049
226,동현세탁,서울특별시 광진구 뚝섬로52라길 65,37.5289582,127.0801235
227,에덴미용실,서울특별시 광진구 자양로36길 11-1,37.5461504,127.0875251
228,제이필헤어,서울특별시 광진구 자양로 183,37.5283275,127.0884549
229,영화속의 김밥이야기,서울특별시 광진구 자양로 173,37.5283275,127.0884549
230,장미헤어짱,서울특별시 광진구 면목로167,0.0,0.0
231,갤러리헤어,서울특별시 광진구 동일로72길 46,37.5655463,127.0795285
232,헤어포인트,"서울특별시 광진구 능동로3길 44,",37.5335692,127.0665157
233,유나미용실,"서울특별시 광진구 동일로4길 44,",37.5353403,127.0643111
234,모짜르트헤어샵,"서울특별시 광진구 자양번영로1길 12,",37.5308138,127.0734922
235,한일세탁,"서울특별시 광진구 자양번영로5길 7,",37.5329184,127.0747402
236,공새미김밥,"서울특별시 광진구 뚝섬로58길 19,",37.5293201,127.0844977
237,조희미용실,"서울특별시 광진구 뚝섬로52나길 25,",37.5307381,127.079829
238,그린세탁,"서울특별시 광진구 뚝섬로54길 57,",37.5298151,127.0801773
239,머리천국미용실,서울특별시 광진구 뚝섬로49길 31,37.5344977,127.0803872
240,흥부농장,"서울특별시 광진구 뚝섬로59길 81-2,",37.5336777,127.0836157
241,이계임미용실,"서울특별시 광진구 자양로15길 101,",37.5352279,127.0813115
242,자매식당,"서울특별시 광진구 구의로 16,",37.54152,127.08992
243,명신미용실,"서울특별시 광진구 자양로37길 8,",37.5483488,127.0875465
244,으뜸크리닝,"서울특별시 광진구 아차산로51길 74,",37.5404087,127.0851736
245,김밥나라,"서울특별시 광진구 용마산로 52,",37.5537634,127.0885613
246,코닥스튜디오,"서울특별시 광진구 영화사로 4,",37.5563216,127.0912831
